nameMeasure,expressionMeasure,table_name_in_DAX,column_name_in_DAX,exist_measure
No of cust by type & status,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Dim_Date[Date] )
 return 
SWITCH(True(),
           // and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           // and ( _type = ""NTB"", _closed =""Active"" ), [NTB All CIF]- [ALL CIF NTB Closed],
           // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          //  and ( _type = ""NTB"", _closed =""Closed""), [ALL CIF NTB Closed],
          //  and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
           // _closed =""Closed"" , [All CIF ETB closed] + [ALL CIF NTB Closed], 
           _type = ""ETB"" , [ETB all cif], 
           _type = ""NTB"", [NTB All CIF],
           1=1, [NTB All CIF] + [ETB all cif] 
             )",Dim_CLOSED_FLAG,Closed_cif,ETB all cif
No of cust by type & status splm,"
 var _max1 = max(Active_cif[REPORT_DATE]) //LASTNONBLANK(Dim_Date[Date] , [No of NTB] )
Return 
CALCULATE([No of cust by type & status YTD] , Dim_Date[Date] = EOMONTH(EDATE(_max1,-1),0) ) //DATEADD( FILTER( DATESMTD(Dim_Date[Date]) , Dim_Date[Date]<= _max1 ), -1, MONTH ))",Dim_Date,Date,No of NTB
No of cust by type & status splm,"
 var _max1 = max(Active_cif[REPORT_DATE]) //LASTNONBLANK(Dim_Date[Date] , [No of NTB] )
Return 
CALCULATE([No of cust by type & status YTD] , Dim_Date[Date] = EOMONTH(EDATE(_max1,-1),0) ) //DATEADD( FILTER( DATESMTD(Dim_Date[Date]) , Dim_Date[Date]<= _max1 ), -1, MONTH ))",Active_cif,REPORT_DATE,No of NTB
No of cust by type & status SPLY,"
var _max1 = max(Active_cif[REPORT_DATE]) //LASTNONBLANK(Dim_Date[Date] , [No of NTB] )
Return 
CALCULATE( [No of cust by type & status YTD] , Dim_Date[Date] = EOMONTH(EDATE(_max1,-12),0) ) //DATEADD( FILTER( DATESMTD(Dim_Date[Date] ), Dim_Date[Date]<= _max1 ), -1, Year ))",Dim_Date,Date,No of NTB
No of cust by type & status SPLY,"
var _max1 = max(Active_cif[REPORT_DATE]) //LASTNONBLANK(Dim_Date[Date] , [No of NTB] )
Return 
CALCULATE( [No of cust by type & status YTD] , Dim_Date[Date] = EOMONTH(EDATE(_max1,-12),0) ) //DATEADD( FILTER( DATESMTD(Dim_Date[Date] ), Dim_Date[Date]<= _max1 ), -1, Year ))",Active_cif,REPORT_DATE,No of NTB
Date add,"DATEADD( Dim_Date[Date], -1, month)",Dim_Date,Date,
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Active_cif,Cust_num,CIF ACTIVE ETB
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Dim_Client_type,Client_type,CIF ACTIVE ETB
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Active_cif,REPORT_DATE,CIF ACTIVE ETB
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Active_cif,CUST_TYPE,CIF ACTIVE ETB
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Dim_CLOSED_FLAG,Closed_cif,CIF ACTIVE ETB
No of cust by type & status YTD,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Active_cif[REPORT_DATE])
 return 
SWITCH(True(),
_type = ""ETB"" , CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""ETB"", Dim_Date[Date]=_max) - [CIF ACTIVE ETB],
_type = ""NTB"", CALCULATE(sum(Active_cif[Cust_num]),Active_cif[CUST_TYPE] =""NTB"", Dim_Date[Date]=_max) - [CIF ACTIVE NTB],
1=1, CALCULATE(sum(Active_cif[Cust_num]), Dim_Date[Date]= _max) - [Cif Only removed] )
           //and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           //and ( _type = ""NTB"", _closed =""Active"" ), TOTALYTD([NTB All CIF],Dim_Date[Date])- [ALL CIF NTB Closed],
          // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          // and ( _type = ""NTB"", _closed =""Closed""), TOTALYTD([ALL CIF NTB Closed], Dim_Date[Date] ),
          // and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
          // _closed =""Closed"" , [All CIF ETB closed] +[ALL CIF NTB Closed] , 
          // _type = ""ETB"" , [ETB all cif], 
          // _type = ""NTB"", TOTALYTD([NTB All CIF],Dim_Date[Date]),
          // 1=1, [NTB All CIF] + [ETB all cif] 
             ",Dim_Date,Date,CIF ACTIVE ETB
CIF ACTIVE NTB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""NTB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,CUST_TYPE,
CIF ACTIVE NTB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""NTB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,ACTIVE_PRODUCT,
CIF ACTIVE NTB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""NTB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,Cust_num,
CIF ACTIVE ETB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""ETB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,CUST_TYPE,
CIF ACTIVE ETB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""ETB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,ACTIVE_PRODUCT,
CIF ACTIVE ETB,"CALCULATE(sum(Active_cif[Cust_num]), Active_cif[CUST_TYPE] =""ETB"", Active_cif[ACTIVE_PRODUCT] = ""N"")",Active_cif,Cust_num,
Cif Only removed,"
var _max = max(Active_cif[REPORT_DATE])
return 
CALCULATE(SUM(Active_cif[Cust_num]), Active_cif[ACTIVE_PRODUCT] =""N"", Dim_Date[Date] = _max)",Dim_Date,Date,
Cif Only removed,"
var _max = max(Active_cif[REPORT_DATE])
return 
CALCULATE(SUM(Active_cif[Cust_num]), Active_cif[ACTIVE_PRODUCT] =""N"", Dim_Date[Date] = _max)",Active_cif,REPORT_DATE,
Cif Only removed,"
var _max = max(Active_cif[REPORT_DATE])
return 
CALCULATE(SUM(Active_cif[Cust_num]), Active_cif[ACTIVE_PRODUCT] =""N"", Dim_Date[Date] = _max)",Active_cif,ACTIVE_PRODUCT,
Cif Only removed,"
var _max = max(Active_cif[REPORT_DATE])
return 
CALCULATE(SUM(Active_cif[Cust_num]), Active_cif[ACTIVE_PRODUCT] =""N"", Dim_Date[Date] = _max)",Active_cif,Cust_num,
Number of active Cust.,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Dim_Date[Date] )
 return 
SWITCH(True(),
           // and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           // and ( _type = ""NTB"", _closed =""Active"" ), [NTB All CIF]- [ALL CIF NTB Closed],
           // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          //  and ( _type = ""NTB"", _closed =""Closed""), [ALL CIF NTB Closed],
          //  and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
           // _closed =""Closed"" , [All CIF ETB closed] + [ALL CIF NTB Closed], 
           _type = ""ETB"" , [ETB all cif] - [CIF ACTIVE ETB],
           _type = ""NTB"", [NTB All CIF] - [CIF ACTIVE NTB],
           1=1, [ETB all cif]+ [NTB All CIF] - [CIF ACTIVE ETB]  - [CIF ACTIVE NTB]
             )",Dim_Date,Date,ETB all cif
Number of active Cust.,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Dim_Date[Date] )
 return 
SWITCH(True(),
           // and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           // and ( _type = ""NTB"", _closed =""Active"" ), [NTB All CIF]- [ALL CIF NTB Closed],
           // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          //  and ( _type = ""NTB"", _closed =""Closed""), [ALL CIF NTB Closed],
          //  and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
           // _closed =""Closed"" , [All CIF ETB closed] + [ALL CIF NTB Closed], 
           _type = ""ETB"" , [ETB all cif] - [CIF ACTIVE ETB],
           _type = ""NTB"", [NTB All CIF] - [CIF ACTIVE NTB],
           1=1, [ETB all cif]+ [NTB All CIF] - [CIF ACTIVE ETB]  - [CIF ACTIVE NTB]
             )",Dim_Client_type,Client_type,ETB all cif
Number of active Cust.,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
var _closed = SELECTEDVALUE(Dim_CLOSED_FLAG[Closed_cif])
var _max = MAX(Dim_Date[Date] )
 return 
SWITCH(True(),
           // and ( _type = ""ETB"", _closed =""Active""), [ETB all cif] - [All CIF ETB closed],
           // and ( _type = ""NTB"", _closed =""Active"" ), [NTB All CIF]- [ALL CIF NTB Closed],
           // _closed =""Active"" , [NTB All CIF] + [ETB all cif] - [All CIF ETB closed] - [ALL CIF NTB Closed],
          //  and ( _type = ""NTB"", _closed =""Closed""), [ALL CIF NTB Closed],
          //  and ( _type = ""ETB"", _closed =""Closed""), [All CIF ETB closed],
           // _closed =""Closed"" , [All CIF ETB closed] + [ALL CIF NTB Closed], 
           _type = ""ETB"" , [ETB all cif] - [CIF ACTIVE ETB],
           _type = ""NTB"", [NTB All CIF] - [CIF ACTIVE NTB],
           1=1, [ETB all cif]+ [NTB All CIF] - [CIF ACTIVE ETB]  - [CIF ACTIVE NTB]
             )",Dim_CLOSED_FLAG,Closed_cif,ETB all cif
No of cust by type_Channel,"
var _max = MAX(Active_cif[REPORT_DATE] )
 return 
SWITCH(True(),
           1=1, CALCULATE(sum(Active_cif[Cust_num]),Dim_Date[Date] = _max) - CALCULATE(SUM(Active_cif[Cust_num]), Dim_Date[Date]=_max, Active_cif[ACTIVE_PRODUCT] =""N"")
             )",Dim_Date,Date,
No of cust by type_Channel,"
var _max = MAX(Active_cif[REPORT_DATE] )
 return 
SWITCH(True(),
           1=1, CALCULATE(sum(Active_cif[Cust_num]),Dim_Date[Date] = _max) - CALCULATE(SUM(Active_cif[Cust_num]), Dim_Date[Date]=_max, Active_cif[ACTIVE_PRODUCT] =""N"")
             )",Active_cif,REPORT_DATE,
No of cust by type_Channel,"
var _max = MAX(Active_cif[REPORT_DATE] )
 return 
SWITCH(True(),
           1=1, CALCULATE(sum(Active_cif[Cust_num]),Dim_Date[Date] = _max) - CALCULATE(SUM(Active_cif[Cust_num]), Dim_Date[Date]=_max, Active_cif[ACTIVE_PRODUCT] =""N"")
             )",Active_cif,ACTIVE_PRODUCT,
No of cust by type_Channel,"
var _max = MAX(Active_cif[REPORT_DATE] )
 return 
SWITCH(True(),
           1=1, CALCULATE(sum(Active_cif[Cust_num]),Dim_Date[Date] = _max) - CALCULATE(SUM(Active_cif[Cust_num]), Dim_Date[Date]=_max, Active_cif[ACTIVE_PRODUCT] =""N"")
             )",Active_cif,Cust_num,
No of cust by type _TOTAL CIF,"
var _type = SELECTEDVALUE(Dim_Client_type[Client_type] )
 return 
SWITCH(True(),
            _type = ""ETB"", [ETB all cif] ,//- [All CIF ETB closed],
            _type = ""NTB"", [NTB All CIF],// - [ALL CIF NTB Closed],
 [NTB All CIF]  + [ETB all cif] 
//- [All CIF ETB closed]
 //- [ALL CIF NTB Closed] 
)",Dim_Client_type,Client_type,ETB all cif
